,data,godzina,dom,wyjazd,wynik
1710,1995-05-10,16:00,Widzew Łódź,Petrochemia Plock,3:0
1711,1995-05-10,16:00,Hutnik Kraków,FKS Stal Mielec,1:1
1712,1995-05-10,17:00,Legia Warszawa,Lech Poznań,0:1
1713,1995-05-10,17:30,Olimpia Poznań,ŁKS Łódź,3:0
1714,1995-05-13,10:00,Lech Poznań,Warta Poznań,1:2
1715,1995-05-13,15:00,Petrochemia Plock,Legia Warszawa,0:0
1716,1995-05-13,15:00,Raków Częstochowa,Hutnik Kraków,0:0
1717,1995-05-13,15:00,Ruch Chorzów,Zagłębie Lubin,0:0
1718,1995-05-13,15:15,ŁKS Łódź,GKS Katowice,0:0
1719,1995-05-13,16:00,Miliarder Pniewy,FKS Stal Mielec,3:0
1720,1995-05-13,16:00,Stal Stalowa Wola,Widzew Łódź,0:2
1721,1995-05-13,17:00,Pogoń Szczecin,Olimpia Poznań,1:1
1722,1995-05-13,17:00,Górnik Zabrze,Stomil Olsztyn,2:0
1723,1995-05-20,11:00,Warta Poznań,Petrochemia Plock,1:3
1724,1995-05-20,15:00,Zagłębie Lubin,Raków Częstochowa,2:0
1725,1995-05-20,16:00,Stomil Olsztyn,Lech Poznań,1:0
1726,1995-05-20,16:00,GKS Katowice,Pogoń Szczecin,1:2
1727,1995-05-20,16:00,FKS Stal Mielec,ŁKS Łódź,3:2
1728,1995-05-20,16:00,Widzew Łódź,Ruch Chorzów,2:0
1729,1995-05-20,16:00,Hutnik Kraków,Miliarder Pniewy,0:0
1730,1995-05-20,17:00,Legia Warszawa,Stal Stalowa Wola,1:0
1731,1995-05-20,17:00,Olimpia Poznań,Górnik Zabrze,2:2
1732,1995-05-27,15:00,ŁKS Łódź,Miliarder Pniewy,3:0
1733,1995-05-27,15:00,Górnik Zabrze,GKS Katowice,2:1
1734,1995-05-27,16:00,Petrochemia Plock,Stomil Olsztyn,0:0
1735,1995-05-27,16:00,Stal Stalowa Wola,Warta Poznań,4:1
1736,1995-05-27,16:00,Raków Częstochowa,Widzew Łódź,1:0
1737,1995-05-27,16:00,Zagłębie Lubin,Hutnik Kraków,1:2
1738,1995-05-27,17:00,Pogoń Szczecin,FKS Stal Mielec,0:0
1739,1995-05-27,17:00,Ruch Chorzów,Legia Warszawa,0:2
1740,1995-05-27,18:00,Lech Poznań,Olimpia Poznań,0:2
1741,1995-05-31,14:00,Warta Poznań,Ruch Chorzów,3:4
1742,1995-05-31,15:00,Hutnik Kraków,ŁKS Łódź,5:0
1743,1995-05-31,16:00,GKS Katowice,Lech Poznań,3:1
1744,1995-05-31,16:00,FKS Stal Mielec,Górnik Zabrze,3:2
1745,1995-05-31,16:00,Miliarder Pniewy,Pogoń Szczecin,0:0
1746,1995-05-31,16:00,Widzew Łódź,Zagłębie Lubin,1:1
1747,1995-05-31,16:30,Legia Warszawa,Raków Częstochowa,3:0
1748,1995-05-31,16:30,Stomil Olsztyn,Stal Stalowa Wola,1:1
1749,1995-05-31,18:00,Olimpia Poznań,Petrochemia Plock,1:1
1750,1995-06-11,16:00,Pogoń Szczecin,ŁKS Łódź,0:0
1751,1995-06-11,16:00,Górnik Zabrze,Miliarder Pniewy,2:0
1752,1995-06-11,16:00,Lech Poznań,FKS Stal Mielec,4:3
1753,1995-06-11,16:00,Petrochemia Plock,GKS Katowice,3:0
1754,1995-06-11,16:00,Stal Stalowa Wola,Olimpia Poznań,2:2
1755,1995-06-11,16:00,Ruch Chorzów,Stomil Olsztyn,7:0
1756,1995-06-11,16:00,Raków Częstochowa,Warta Poznań,2:1
1757,1995-06-11,16:00,Zagłębie Lubin,Legia Warszawa,2:1
1758,1995-06-11,16:00,Widzew Łódź,Hutnik Kraków,4:0
1759,1995-06-14,16:00,Legia Warszawa,Widzew Łódź,2:0
1760,1995-06-14,16:00,Warta Poznań,Zagłębie Lubin,1:3
1761,1995-06-14,16:00,Stomil Olsztyn,Raków Częstochowa,0:1
1762,1995-06-14,16:00,Olimpia Poznań,Ruch Chorzów,1:2
1763,1995-06-14,16:00,GKS Katowice,Stal Stalowa Wola,3:0
1764,1995-06-14,16:00,FKS Stal Mielec,Petrochemia Plock,1:1
1765,1995-06-14,16:00,Miliarder Pniewy,Lech Poznań,2:1
1766,1995-06-14,16:00,ŁKS Łódź,Górnik Zabrze,4:1
1767,1995-06-14,16:00,Hutnik Kraków,Pogoń Szczecin,1:1
1768,1989-07-29,,GKS Katowice,ŁKS Łódź,0:1
1769,1989-07-29,,Zawisza Bydgoszcz,Śląsk Wrocław,1:0
1770,1989-07-29,,Zagłębie Sosnowiec,Jagiellonia Białystok,1:1
1771,1989-07-29,,Olimpia Poznań,Wisła Kraków,1:1
1772,1989-07-29,,Zagłębie Lubin,Lech Poznań,2:0
1773,1989-07-29,,Legia Warszawa,FKS Stal Mielec,1:1
1774,1989-07-29,,Ruch Chorzów,Górnik Zabrze,2:0
1775,1989-07-29,,Motor Lublin,Widzew Łódź,2:0
1776,1989-08-02,,Motor Lublin,GKS Katowice,2:2
1777,1989-08-02,,Widzew Łódź,Ruch Chorzów,0:3
1778,1989-08-02,,Górnik Zabrze,Legia Warszawa,1:1
1779,1989-08-02,,FKS Stal Mielec,Zagłębie Lubin,1:2
1780,1989-08-02,,Lech Poznań,Olimpia Poznań,1:1
1781,1989-08-02,,Wisła Kraków,Zagłębie Sosnowiec,1:2
1782,1989-08-02,,Jagiellonia Białystok,Zawisza Bydgoszcz,2:0
1783,1989-08-02,,Śląsk Wrocław,ŁKS Łódź,1:2
1784,1989-08-05,,GKS Katowice,Śląsk Wrocław,2:1
1785,1989-08-05,,ŁKS Łódź,Jagiellonia Białystok,0:0
1786,1989-08-05,,Zawisza Bydgoszcz,Wisła Kraków,2:0
1787,1989-08-05,,Zagłębie Sosnowiec,Lech Poznań,2:2
1788,1989-08-05,,Olimpia Poznań,FKS Stal Mielec,1:1
1789,1989-08-05,,Zagłębie Lubin,Górnik Zabrze,0:0
1790,1989-08-05,,Legia Warszawa,Widzew Łódź,3:1
1791,1989-08-05,,Ruch Chorzów,Motor Lublin,4:0
1792,1989-08-12,,Ruch Chorzów,GKS Katowice,0:3
1793,1989-08-12,,Motor Lublin,Legia Warszawa,0:0
1794,1989-08-12,,Widzew Łódź,Zagłębie Lubin,0:1
1795,1989-08-12,,Górnik Zabrze,Olimpia Poznań,3:1
1796,1989-08-12,,FKS Stal Mielec,Zagłębie Sosnowiec,0:2
1797,1989-08-12,,Lech Poznań,Zawisza Bydgoszcz,1:5
1798,1989-08-12,,Wisła Kraków,ŁKS Łódź,3:2
1799,1989-08-12,,Jagiellonia Białystok,Śląsk Wrocław,1:1
1800,1989-08-16,,GKS Katowice,Jagiellonia Białystok,3:0
1801,1989-08-16,,Śląsk Wrocław,Wisła Kraków,2:0
1802,1989-08-16,,ŁKS Łódź,Lech Poznań,1:0
1803,1989-08-16,,Zawisza Bydgoszcz,FKS Stal Mielec,2:0
1804,1989-08-16,,Zagłębie Sosnowiec,Górnik Zabrze,1:2
1805,1989-08-16,,Olimpia Poznań,Widzew Łódź,1:1
1806,1989-08-16,,Zagłębie Lubin,Motor Lublin,3:0
1807,1989-08-16,,Legia Warszawa,Ruch Chorzów,2:2
1808,1989-08-26,,Legia Warszawa,GKS Katowice,0:0
1809,1989-08-26,,Ruch Chorzów,Zagłębie Lubin,2:0
1810,1989-08-26,,Motor Lublin,Olimpia Poznań,0:0
1811,1989-08-26,,Widzew Łódź,Zagłębie Sosnowiec,1:1
1812,1989-08-26,,Górnik Zabrze,Zawisza Bydgoszcz,2:0
1813,1989-08-26,,FKS Stal Mielec,ŁKS Łódź,1:0
1814,1989-08-26,,Lech Poznań,Śląsk Wrocław,3:0
1815,1989-08-26,,Wisła Kraków,Jagiellonia Białystok,1:1
1816,1989-09-02,,GKS Katowice,Wisła Kraków,2:1
1817,1989-09-02,,Jagiellonia Białystok,Lech Poznań,1:1
1818,1989-09-02,,Śląsk Wrocław,FKS Stal Mielec,0:0
1819,1989-09-02,,ŁKS Łódź,Górnik Zabrze,1:2
1820,1989-09-02,,Zawisza Bydgoszcz,Widzew Łódź,4:1
1821,1989-09-02,,Zagłębie Sosnowiec,Motor Lublin,0:0
1822,1989-09-02,,Olimpia Poznań,Ruch Chorzów,2:0
1823,1989-09-02,,Zagłębie Lubin,Legia Warszawa,2:2
1824,1989-09-16,,Zagłębie Lubin,GKS Katowice,1:1
1825,1989-09-16,,Legia Warszawa,Olimpia Poznań,1:0
1826,1989-09-16,,Ruch Chorzów,Zagłębie Sosnowiec,0:0
1827,1989-09-16,,Motor Lublin,Zawisza Bydgoszcz,0:0
1828,1989-09-16,,Widzew Łódź,ŁKS Łódź,1:1
1829,1989-09-16,,Górnik Zabrze,Śląsk Wrocław,2:0
1830,1989-09-16,,FKS Stal Mielec,Jagiellonia Białystok,1:0
1831,1989-09-16,,Lech Poznań,Wisła Kraków,2:0
1832,1989-09-23,,GKS Katowice,Lech Poznań,1:1
1833,1989-09-23,,Wisła Kraków,FKS Stal Mielec,2:1
1834,1989-09-23,,Jagiellonia Białystok,Górnik Zabrze,1:1
1835,1989-09-23,,Śląsk Wrocław,Widzew Łódź,2:1
1836,1989-09-23,,ŁKS Łódź,Motor Lublin,1:1
1837,1989-09-23,,Zawisza Bydgoszcz,Ruch Chorzów,0:2
1838,1989-09-23,,Zagłębie Sosnowiec,Legia Warszawa,0:1
1839,1989-09-23,,Olimpia Poznań,Zagłębie Lubin,1:1
1840,1989-09-30,,Olimpia Poznań,GKS Katowice,0:0
1841,1989-09-30,,Zagłębie Lubin,Zagłębie Sosnowiec,1:0
1842,1989-09-30,,Legia Warszawa,Zawisza Bydgoszcz,1:0
1843,1989-09-30,,Ruch Chorzów,ŁKS Łódź,4:1
1844,1989-09-30,,Motor Lublin,Śląsk Wrocław,1:0
1845,1989-09-30,,Widzew Łódź,Jagiellonia Białystok,1:2
1846,1989-09-30,,Górnik Zabrze,Wisła Kraków,2:0
1847,1989-09-30,,FKS Stal Mielec,Lech Poznań,0:1
1848,1989-10-14,,GKS Katowice,FKS Stal Mielec,2:0
1849,1989-10-14,,Lech Poznań,Górnik Zabrze,3:0
1850,1989-10-14,,Wisła Kraków,Widzew Łódź,1:0
1851,1989-10-14,,Jagiellonia Białystok,Motor Lublin,1:1
1852,1989-10-14,,Śląsk Wrocław,Ruch Chorzów,2:2
1853,1989-10-14,,ŁKS Łódź,Legia Warszawa,1:3
1854,1989-10-14,,Zawisza Bydgoszcz,Zagłębie Lubin,1:1
1855,1989-10-14,,Zagłębie Sosnowiec,Olimpia Poznań,0:1
1856,1989-10-28,,Zagłębie Sosnowiec,GKS Katowice,0:0
1857,1989-10-28,,Olimpia Poznań,Zawisza Bydgoszcz,2:0
1858,1989-10-28,,Zagłębie Lubin,ŁKS Łódź,2:1
1859,1989-10-28,,Legia Warszawa,Śląsk Wrocław,2:0
1860,1989-10-28,,Ruch Chorzów,Jagiellonia Białystok,3:0
1861,1989-10-28,,Motor Lublin,Wisła Kraków,2:0
1862,1989-10-28,,Widzew Łódź,Lech Poznań,1:0
1863,1989-10-28,,Górnik Zabrze,FKS Stal Mielec,2:1
1864,1989-11-04,,GKS Katowice,Górnik Zabrze,1:0
1865,1989-11-04,,FKS Stal Mielec,Widzew Łódź,4:1
1866,1989-11-04,,Lech Poznań,Motor Lublin,4:0
1867,1989-11-04,,Wisła Kraków,Ruch Chorzów,3:0
1868,1989-11-04,,Jagiellonia Białystok,Legia Warszawa,0:0
1869,1989-11-04,,Śląsk Wrocław,Zagłębie Lubin,0:2
1870,1989-11-04,,ŁKS Łódź,Olimpia Poznań,2:2
1871,1989-11-04,,Zawisza Bydgoszcz,Zagłębie Sosnowiec,4:0
1872,1989-11-18,,Zawisza Bydgoszcz,GKS Katowice,0:0
1873,1989-11-18,,Zagłębie Sosnowiec,ŁKS Łódź,1:1
1874,1989-11-18,,Olimpia Poznań,Śląsk Wrocław,1:1
1875,1989-11-18,,Zagłębie Lubin,Jagiellonia Białystok,2:0
1876,1989-11-18,,Legia Warszawa,Wisła Kraków,0:3
1877,1989-11-18,,Ruch Chorzów,Lech Poznań,1:2
1878,1989-11-18,,Motor Lublin,FKS Stal Mielec,0:0
1879,1989-11-18,,Widzew Łódź,Górnik Zabrze,3:1
1880,1989-11-25,,GKS Katowice,Widzew Łódź,1:0
1881,1989-11-25,,Górnik Zabrze,Motor Lublin,2:0
1882,1989-11-25,,FKS Stal Mielec,Ruch Chorzów,1:0
1883,1989-11-25,,Lech Poznań,Legia Warszawa,1:1
1884,1989-11-25,,Wisła Kraków,Zagłębie Lubin,2:1
1885,1989-11-25,,Jagiellonia Białystok,Olimpia Poznań,0:2
1886,1989-11-25,,Śląsk Wrocław,Zagłębie Sosnowiec,2:1
1887,1989-11-25,,ŁKS Łódź,Zawisza Bydgoszcz,0:0
1888,1990-03-03,,ŁKS Łódź,GKS Katowice,2:1
1889,1990-03-03,,Śląsk Wrocław,Zawisza Bydgoszcz,0:1
1890,1990-03-03,,Jagiellonia Białystok,Zagłębie Sosnowiec,1:1
1891,1990-03-03,,Wisła Kraków,Olimpia Poznań,1:1
1892,1990-03-03,,Lech Poznań,Zagłębie Lubin,3:1
1893,1990-03-03,,FKS Stal Mielec,Legia Warszawa,0:0
1894,1990-03-03,,Górnik Zabrze,Ruch Chorzów,3:0
1895,1990-03-03,,Widzew Łódź,Motor Lublin,0:0
1896,1990-03-10,,GKS Katowice,Motor Lublin,2:0
1897,1990-03-10,,Ruch Chorzów,Widzew Łódź,1:2
1898,1990-03-10,,Legia Warszawa,Górnik Zabrze,0:0
1899,1990-03-10,,Zagłębie Lubin,FKS Stal Mielec,3:0
1900,1990-03-10,,Olimpia Poznań,Lech Poznań,0:1
1901,1990-03-10,,Zagłębie Sosnowiec,Wisła Kraków,2:1
1902,1990-03-10,,Zawisza Bydgoszcz,Jagiellonia Białystok,2:1
1903,1990-03-10,,ŁKS Łódź,Śląsk Wrocław,1:1
1904,1990-03-17,,Śląsk Wrocław,GKS Katowice,2:0
1905,1990-03-17,,Jagiellonia Białystok,ŁKS Łódź,1:2
1906,1990-03-17,,Wisła Kraków,Zawisza Bydgoszcz,2:1
1907,1990-03-17,,Lech Poznań,Zagłębie Sosnowiec,0:0
1908,1990-03-17,,FKS Stal Mielec,Olimpia Poznań,2:1
1909,1990-03-17,,Górnik Zabrze,Zagłębie Lubin,1:1
1910,1990-03-17,,Widzew Łódź,Legia Warszawa,1:1
1911,1990-03-17,,Motor Lublin,Ruch Chorzów,0:0
1912,1990-03-24,,GKS Katowice,Ruch Chorzów,2:0
1913,1990-03-24,,Legia Warszawa,Motor Lublin,2:0
1914,1990-03-24,,Zagłębie Lubin,Widzew Łódź,1:0
1915,1990-03-24,,Olimpia Poznań,Górnik Zabrze,1:0
1916,1990-03-24,,Zagłębie Sosnowiec,FKS Stal Mielec,2:0
1917,1990-03-24,,Zawisza Bydgoszcz,Lech Poznań,2:0
1918,1990-03-24,,ŁKS Łódź,Wisła Kraków,0:0
1919,1990-03-24,,Śląsk Wrocław,Jagiellonia Białystok,3:0
1920,1990-03-31,,Jagiellonia Białystok,GKS Katowice,0:0
1921,1990-03-31,,Wisła Kraków,Śląsk Wrocław,1:1
1922,1990-03-31,,Lech Poznań,ŁKS Łódź,1:1
1923,1990-03-31,,FKS Stal Mielec,Zawisza Bydgoszcz,1:0
1924,1990-03-31,,Górnik Zabrze,Zagłębie Sosnowiec,1:1
1925,1990-03-31,,Widzew Łódź,Olimpia Poznań,1:0
1926,1990-03-31,,Motor Lublin,Zagłębie Lubin,1:0
1927,1990-03-31,,Ruch Chorzów,Legia Warszawa,0:0
1928,1990-04-04,,GKS Katowice,Legia Warszawa,0:0
1929,1990-04-04,,Zagłębie Lubin,Ruch Chorzów,1:1
1930,1990-04-04,,Olimpia Poznań,Motor Lublin,1:0
1931,1990-04-04,,Zagłębie Sosnowiec,Widzew Łódź,2:1
1932,1990-04-04,,Zawisza Bydgoszcz,Górnik Zabrze,0:0
1933,1990-04-04,,ŁKS Łódź,FKS Stal Mielec,2:0
1934,1990-04-04,,Śląsk Wrocław,Lech Poznań,1:1
1935,1990-04-04,,Jagiellonia Białystok,Wisła Kraków,0:3
1936,1990-04-07,,Wisła Kraków,GKS Katowice,0:0
1937,1990-04-07,,Lech Poznań,Jagiellonia Białystok,3:0
1938,1990-04-07,,FKS Stal Mielec,Śląsk Wrocław,1:1
1939,1990-04-07,,Górnik Zabrze,ŁKS Łódź,0:1
1940,1990-04-07,,Widzew Łódź,Zawisza Bydgoszcz,0:0
1941,1990-04-07,,Motor Lublin,Zagłębie Sosnowiec,1:0
1942,1990-04-07,,Ruch Chorzów,Olimpia Poznań,2:1
1943,1990-04-07,,Legia Warszawa,Zagłębie Lubin,0:0
1944,1990-04-14,,GKS Katowice,Zagłębie Lubin,1:1
1945,1990-04-14,,Olimpia Poznań,Legia Warszawa,2:0
1946,1990-04-14,,Zagłębie Sosnowiec,Ruch Chorzów,2:0
1947,1990-04-14,,Zawisza Bydgoszcz,Motor Lublin,2:1
1948,1990-04-14,,ŁKS Łódź,Widzew Łódź,1:0
1949,1990-04-14,,Śląsk Wrocław,Górnik Zabrze,2:2
1950,1990-04-14,,Jagiellonia Białystok,FKS Stal Mielec,2:2
1951,1990-04-14,,Wisła Kraków,Lech Poznań,1:1
1952,1990-04-21,,Lech Poznań,GKS Katowice,1:1
1953,1990-04-21,,FKS Stal Mielec,Wisła Kraków,2:1
1954,1990-04-21,,Górnik Zabrze,Jagiellonia Białystok,1:0
1955,1990-04-21,,Widzew Łódź,Śląsk Wrocław,0:0
1956,1990-04-21,,Motor Lublin,ŁKS Łódź,1:1
1957,1990-04-21,,Ruch Chorzów,Zawisza Bydgoszcz,0:3
1958,1990-04-21,,Legia Warszawa,Zagłębie Sosnowiec,1:0
1959,1990-04-21,,Zagłębie Lubin,Olimpia Poznań,0:1
1960,1990-04-28,,GKS Katowice,Olimpia Poznań,2:1
1961,1990-04-28,,Zagłębie Sosnowiec,Zagłębie Lubin,0:2
1962,1990-04-28,,Zawisza Bydgoszcz,Legia Warszawa,0:2
1963,1990-04-28,,ŁKS Łódź,Ruch Chorzów,2:1
1964,1990-04-28,,Śląsk Wrocław,Motor Lublin,1:3
1965,1990-04-28,,Jagiellonia Białystok,Widzew Łódź,2:1
1966,1990-04-28,,Wisła Kraków,Górnik Zabrze,0:1
1967,1990-04-28,,Lech Poznań,FKS Stal Mielec,6:1
1968,1990-05-01,,FKS Stal Mielec,GKS Katowice,0:1
1969,1990-05-01,,Górnik Zabrze,Lech Poznań,0:1
1970,1990-05-01,,Widzew Łódź,Wisła Kraków,1:1
1971,1990-05-01,,Motor Lublin,Jagiellonia Białystok,1:1
1972,1990-05-01,,Ruch Chorzów,Śląsk Wrocław,0:1
1973,1990-05-01,,Legia Warszawa,ŁKS Łódź,0:1
1974,1990-05-01,,Zagłębie Lubin,Zawisza Bydgoszcz,1:0
1975,1990-05-01,,Olimpia Poznań,Zagłębie Sosnowiec,3:0
1976,1990-05-12,,GKS Katowice,Zagłębie Sosnowiec,0:0
1977,1990-05-12,,Zawisza Bydgoszcz,Olimpia Poznań,2:1
1978,1990-05-12,,ŁKS Łódź,Zagłębie Lubin,1:0
1979,1990-05-12,,Śląsk Wrocław,Legia Warszawa,1:0
1980,1990-05-12,,Jagiellonia Białystok,Ruch Chorzów,0:0
1981,1990-05-12,,Wisła Kraków,Motor Lublin,1:1
1982,1990-05-12,,Lech Poznań,Widzew Łódź,0:0
1983,1990-05-12,,FKS Stal Mielec,Górnik Zabrze,3:3
1984,1990-05-16,,Górnik Zabrze,GKS Katowice,1:0
1985,1990-05-16,,Widzew Łódź,FKS Stal Mielec,0:0
1986,1990-05-16,,Motor Lublin,Lech Poznań,0:2
1987,1990-05-16,,Ruch Chorzów,Wisła Kraków,1:1
1988,1990-05-16,,Legia Warszawa,Jagiellonia Białystok,2:0
1989,1990-05-16,,Zagłębie Lubin,Śląsk Wrocław,2:1
1990,1990-05-16,,Olimpia Poznań,ŁKS Łódź,1:0
1991,1990-05-16,,Zagłębie Sosnowiec,Zawisza Bydgoszcz,1:1
1992,1990-05-27,,GKS Katowice,Zawisza Bydgoszcz,2:1
1993,1990-05-27,,ŁKS Łódź,Zagłębie Sosnowiec,4:0
1994,1990-05-27,,Śląsk Wrocław,Olimpia Poznań,0:1
1995,1990-05-27,,Jagiellonia Białystok,Zagłębie Lubin,1:2
1996,1990-05-27,,Wisła Kraków,Legia Warszawa,0:0
1997,1990-05-27,,Lech Poznań,Ruch Chorzów,2:0
1998,1990-05-27,,FKS Stal Mielec,Motor Lublin,3:0
1999,1990-05-27,,Górnik Zabrze,Widzew Łódź,2:2
2000,1990-06-03,,Widzew Łódź,GKS Katowice,1:1
2001,1990-06-03,,Motor Lublin,Górnik Zabrze,0:2
2002,1990-06-03,,Ruch Chorzów,FKS Stal Mielec,0:0
2003,1990-06-03,,Legia Warszawa,Lech Poznań,1:1
2004,1990-06-03,,Zagłębie Lubin,Wisła Kraków,1:1
2005,1990-06-03,,Olimpia Poznań,Jagiellonia Białystok,4:0
2006,1990-06-03,,Zagłębie Sosnowiec,Śląsk Wrocław,0:3
2007,1990-06-03,,Zawisza Bydgoszcz,ŁKS Łódź,2:1
2008,2000-07-22,16:00,Wisła Kraków,Ruch Radzionków,4:0
2009,2000-07-22,16:00,Śląsk Wrocław,Górnik Zabrze,1:0
2010,2000-07-22,16:00,Stomil Olsztyn,Odra Wodzisław,3:1
2011,2000-07-22,16:30,Legia Warszawa,Zagłębie Lubin,1:0
2012,2000-07-22,16:30,Ruch Chorzów,Widzew Łódź,2:1
2013,2000-07-22,17:30,Amica Wronki,Polonia Warszawa,1:0
2014,2000-07-22,19:00,Orlen Plock,Groclin Dyskobolia,1:0
2015,2000-07-23,17:00,GKS Katowice,Pogoń Szczecin,0:0
2016,2000-07-29,15:30,Ruch Radzionków,Legia Warszawa,0:1
2017,2000-07-29,15:30,Zagłębie Lubin,Amica Wronki,3:2
2018,2000-07-29,15:30,Odra Wodzisław,GKS Katowice,0:0
2019,2000-07-29,16:00,Górnik Zabrze,Ruch Chorzów,4:1
2020,2000-07-29,16:00,Groclin Dyskobolia,Wisła Kraków,0:3
2021,2000-07-29,16:30,Polonia Warszawa,Stomil Olsztyn,4:1
2022,2000-07-29,16:30,Widzew Łódź,Orlen Plock,3:2
2023,2000-07-29,17:00,Pogoń Szczecin,Śląsk Wrocław,2:0
2024,2000-08-05,15:30,Zagłębie Lubin,Ruch Radzionków,3:1
2025,2000-08-05,16:00,Śląsk Wrocław,Odra Wodzisław,2:2
2026,2000-08-05,16:00,Wisła Kraków,Widzew Łódź,2:2
2027,2000-08-05,16:30,Amica Wronki,Stomil Olsztyn,2:0
2028,2000-08-05,16:30,Legia Warszawa,Groclin Dyskobolia,3:1
2029,2000-08-05,17:00,Ruch Chorzów,Pogoń Szczecin,0:1
2030,2000-08-06,16:30,Orlen Plock,Górnik Zabrze,1:0
2031,2000-08-06,16:30,GKS Katowice,Polonia Warszawa,0:0
2032,2000-08-12,16:00,Stomil Olsztyn,GKS Katowice,1:0
2033,2000-08-12,16:30,Pogoń Szczecin,Orlen Plock,3:2
2034,2000-08-12,17:00,Widzew Łódź,Legia Warszawa,0:0
2035,2000-08-13,15:00,Groclin Dyskobolia,Zagłębie Lubin,2:0
2036,2000-08-13,15:30,Polonia Warszawa,Śląsk Wrocław,3:1
2037,2000-08-13,15:30,Odra Wodzisław,Ruch Chorzów,2:1
2038,2000-08-13,15:30,Ruch Radzionków,Amica Wronki,1:2
2039,2000-08-13,16:00,Górnik Zabrze,Wisła Kraków,1:2
2040,2000-08-19,15:00,Wisła Kraków,Pogoń Szczecin,1:2
2041,2000-08-19,15:30,Ruch Radzionków,Groclin Dyskobolia,2:1
2042,2000-08-19,15:30,Zagłębie Lubin,Widzew Łódź,4:2
2043,2000-08-19,16:00,Śląsk Wrocław,Stomil Olsztyn,0:1
2044,2000-08-19,16:30,Legia Warszawa,Górnik Zabrze,1:1
2045,2000-08-19,16:30,Ruch Chorzów,Polonia Warszawa,0:3
2046,2000-08-19,16:30,Orlen Plock,Odra Wodzisław,1:2
2047,2000-08-19,16:30,Amica Wronki,GKS Katowice,1:1
2048,2000-08-26,15:00,Pogoń Szczecin,Legia Warszawa,1:1
2049,2000-08-26,16:00,Górnik Zabrze,Zagłębie Lubin,1:1
2050,2000-08-26,16:30,Widzew Łódź,Ruch Radzionków,3:1
2051,2000-08-26,16:30,GKS Katowice,Śląsk Wrocław,1:1
2052,2000-08-27,15:00,Polonia Warszawa,Orlen Plock,1:0
2053,2000-08-27,15:30,Odra Wodzisław,Wisła Kraków,0:2
2054,2000-08-27,16:00,Stomil Olsztyn,Ruch Chorzów,0:0
2055,2000-08-27,16:30,Amica Wronki,Groclin Dyskobolia,2:2
2056,2000-09-09,15:00,Zagłębie Lubin,Pogoń Szczecin,0:1
2057,2000-09-09,15:00,Groclin Dyskobolia,Widzew Łódź,1:1
2058,2000-09-09,15:30,Ruch Radzionków,Górnik Zabrze,3:1
2059,2000-09-09,16:00,Śląsk Wrocław,Amica Wronki,1:1
2060,2000-09-09,16:30,Legia Warszawa,Odra Wodzisław,2:0
2061,2000-09-09,16:30,Orlen Plock,Stomil Olsztyn,1:2
2062,2000-09-09,16:30,Ruch Chorzów,GKS Katowice,0:0
2063,2000-09-10,15:00,Wisła Kraków,Polonia Warszawa,4:0
2064,2000-09-16,15:00,Pogoń Szczecin,Ruch Radzionków,1:0
2065,2000-09-16,15:30,Odra Wodzisław,Zagłębie Lubin,0:1
2066,2000-09-16,16:30,GKS Katowice,Orlen Plock,0:0
2067,2000-09-16,19:00,Górnik Zabrze,Groclin Dyskobolia,1:2
2068,2000-09-17,13:00,Polonia Warszawa,Legia Warszawa,0:0
2069,2000-09-17,15:00,Stomil Olsztyn,Wisła Kraków,0:3
2070,2000-09-17,15:00,Śląsk Wrocław,Ruch Chorzów,3:2
2071,2000-09-17,16:30,Amica Wronki,Widzew Łódź,3:1
2072,2000-09-30,14:00,Groclin Dyskobolia,Pogoń Szczecin,2:1
2073,2000-09-30,14:30,Ruch Radzionków,Odra Wodzisław,0:1
2074,2000-09-30,15:00,Widzew Łódź,Górnik Zabrze,1:0
2075,2000-09-30,16:30,Orlen Plock,Śląsk Wrocław,2:1
2076,2000-09-30,19:00,Legia Warszawa,Stomil Olsztyn,2:1
2077,2000-10-01,12:00,Wisła Kraków,GKS Katowice,3:1
2078,2000-10-01,13:00,Zagłębie Lubin,Polonia Warszawa,0:1
2079,2000-10-01,16:30,Ruch Chorzów,Amica Wronki,3:1
2080,2000-10-14,13:00,Polonia Warszawa,Ruch Radzionków,2:1
2081,2000-10-14,13:00,Stomil Olsztyn,Zagłębie Lubin,1:3
2082,2000-10-14,14:00,Pogoń Szczecin,Widzew Łódź,3:0
2083,2000-10-14,14:30,Odra Wodzisław,Groclin Dyskobolia,2:1
2084,2000-10-14,15:00,GKS Katowice,Legia Warszawa,1:0
2085,2000-10-14,16:30,Ruch Chorzów,Orlen Plock,1:1
2086,2000-10-14,16:30,Amica Wronki,Górnik Zabrze,3:0
2087,2000-10-15,13:00,Śląsk Wrocław,Wisła Kraków,0:1
2088,2000-10-21,13:00,Groclin Dyskobolia,Polonia Warszawa,0:0
2089,2000-10-21,13:00,Ruch Radzionków,Stomil Olsztyn,0:0
2090,2000-10-21,16:00,Górnik Zabrze,Pogoń Szczecin,1:0
2091,2000-10-21,16:30,Legia Warszawa,Śląsk Wrocław,3:1
2092,2000-10-21,16:30,Orlen Plock,Amica Wronki,2:6
2093,2000-10-22,13:00,Wisła Kraków,Ruch Chorzów,2:0
